,chapter,dt,author,replica,replica_full,replica_len
10,Властелин колец: братство кольца,00:00:30,Галадриэль,"И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим","Мир изменился. Я чувствую это в воде, чувствую в земле, ощущаю в воздухе. Многое из того, что было - ушло. И не осталось тех, кто помнит об этом. Всё началось с отливки великих колец. Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих. Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер. А девять... девять колец были переданы человеческому роду, который превыше всего жаждал власти. В этих кольцах была заключена сила власти над каждым из народов. Но все они оказались обмануты, потому что было сделано ещё одно кольцо. В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие. И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим. Одно кольцо, способное править всеми""..",17
11,Властелин колец: братство кольца,00:00:30,Галадриэль,"Одно кольцо, способное править всеми","Мир изменился. Я чувствую это в воде, чувствую в земле, ощущаю в воздухе. Многое из того, что было - ушло. И не осталось тех, кто помнит об этом. Всё началось с отливки великих колец. Три были переданы эльфам - бессмертным созданиям, самым мудрым и справедливым из всех живущих. Семь отданы повелителям гномов - великим добытчикам самоцветов и мастеровым горных пещер. А девять... девять колец были переданы человеческому роду, который превыше всего жаждал власти. В этих кольцах была заключена сила власти над каждым из народов. Но все они оказались обмануты, потому что было сделано ещё одно кольцо. В стране Мордор в огне Роковой Горы тёмный властелин Саурон тайно создал Единое Кольцо, подчинявшее себе все другие. И в это кольцо он вложил всю жестокость, всю злобу и всю жажду власти над всем живущим. Одно кольцо, способное править всеми""..",5
12,Властелин колец: братство кольца,00:02:16,Галадриэль,"Одна за другой свободные земли Средиземья пали под властью кольца - но были и те, кто восстал против зла","Одна за другой свободные земли Средиземья пали под властью кольца - но были и те, кто восстал против зла. Последний союз людей и эльфов выступил против армии Мордора, чтобы на склонах Роковой Горы сразиться за свободу Средиземья. Победа была близка, но силу кольца нельзя было превозмочь. Но в тот миг, когда надежда угасла, Исильдур, сын короля, поднял меч своего отца. Саурон, враг свободных людей Средиземья, был повержен. Кольцо перешло к Исильдуру, которому выпал шанс уничтожить зло навсегда. Но сердца людей легко поддаются соблазну, а Кольцо Власти обладало собственной волей. Оно предало Исильдура и привело его к гибели. И многое было забыто, чего забывать не следовало. История стала легендой, легенда превратилась в миф, и на две с половиной тысячи лет кольцо кануло в безвестность. До тех пор, пока случай не привёл в его сети нового владельца""..",19
13,Властелин колец: братство кольца,00:02:16,Галадриэль,"Последний союз людей и эльфов выступил против армии Мордора, чтобы на склонах Роковой Горы сразиться за свободу Средиземья","Одна за другой свободные земли Средиземья пали под властью кольца - но были и те, кто восстал против зла. Последний союз людей и эльфов выступил против армии Мордора, чтобы на склонах Роковой Горы сразиться за свободу Средиземья. Победа была близка, но силу кольца нельзя было превозмочь. Но в тот миг, когда надежда угасла, Исильдур, сын короля, поднял меч своего отца. Саурон, враг свободных людей Средиземья, был повержен. Кольцо перешло к Исильдуру, которому выпал шанс уничтожить зло навсегда. Но сердца людей легко поддаются соблазну, а Кольцо Власти обладало собственной волей. Оно предало Исильдура и привело его к гибели. И многое было забыто, чего забывать не следовало. История стала легендой, легенда превратилась в миф, и на две с половиной тысячи лет кольцо кануло в безвестность. До тех пор, пока случай не привёл в его сети нового владельца""..",18
14,Властелин колец: братство кольца,00:02:16,Галадриэль,"Победа была близка, но силу кольца нельзя было превозмочь","Одна за другой свободные земли Средиземья пали под властью кольца - но были и те, кто восстал против зла. Последний союз людей и эльфов выступил против армии Мордора, чтобы на склонах Роковой Горы сразиться за свободу Средиземья. Победа была близка, но силу кольца нельзя было превозмочь. Но в тот миг, когда надежда угасла, Исильдур, сын короля, поднял меч своего отца. Саурон, враг свободных людей Средиземья, был повержен. Кольцо перешло к Исильдуру, которому выпал шанс уничтожить зло навсегда. Но сердца людей легко поддаются соблазну, а Кольцо Власти обладало собственной волей. Оно предало Исильдура и привело его к гибели. И многое было забыто, чего забывать не следовало. История стала легендой, легенда превратилась в миф, и на две с половиной тысячи лет кольцо кануло в безвестность. До тех пор, пока случай не привёл в его сети нового владельца""..",9
15,Властелин колец: братство кольца,00:02:16,Галадриэль,"Но в тот миг, когда надежда угасла, Исильдур, сын короля, поднял меч своего отца","Одна за другой свободные земли Средиземья пали под властью кольца - но были и те, кто восстал против зла. Последний союз людей и эльфов выступил против армии Мордора, чтобы на склонах Роковой Горы сразиться за свободу Средиземья. Победа была близка, но силу кольца нельзя было превозмочь. Но в тот миг, когда надежда угасла, Исильдур, сын короля, поднял меч своего отца. Саурон, враг свободных людей Средиземья, был повержен. Кольцо перешло к Исильдуру, которому выпал шанс уничтожить зло навсегда. Но сердца людей легко поддаются соблазну, а Кольцо Власти обладало собственной волей. Оно предало Исильдура и привело его к гибели. И многое было забыто, чего забывать не следовало. История стала легендой, легенда превратилась в миф, и на две с половиной тысячи лет кольцо кануло в безвестность. До тех пор, пока случай не привёл в его сети нового владельца""..",14
16,Властелин колец: братство кольца,00:02:16,Галадриэль,"Саурон, враг свободных людей Средиземья, был повержен","Одна за другой свободные земли Средиземья пали под властью кольца - но были и те, кто восстал против зла. Последний союз людей и эльфов выступил против армии Мордора, чтобы на склонах Роковой Горы сразиться за свободу Средиземья. Победа была близка, но силу кольца нельзя было превозмочь. Но в тот миг, когда надежда угасла, Исильдур, сын короля, поднял меч своего отца. Саурон, враг свободных людей Средиземья, был повержен. Кольцо перешло к Исильдуру, которому выпал шанс уничтожить зло навсегда. Но сердца людей легко поддаются соблазну, а Кольцо Власти обладало собственной волей. Оно предало Исильдура и привело его к гибели. И многое было забыто, чего забывать не следовало. История стала легендой, легенда превратилась в миф, и на две с половиной тысячи лет кольцо кануло в безвестность. До тех пор, пока случай не привёл в его сети нового владельца""..",7
17,Властелин колец: братство кольца,00:02:16,Галадриэль,"Кольцо перешло к Исильдуру, которому выпал шанс уничтожить зло навсегда","Одна за другой свободные земли Средиземья пали под властью кольца - но были и те, кто восстал против зла. Последний союз людей и эльфов выступил против армии Мордора, чтобы на склонах Роковой Горы сразиться за свободу Средиземья. Победа была близка, но силу кольца нельзя было превозмочь. Но в тот миг, когда надежда угасла, Исильдур, сын короля, поднял меч своего отца. Саурон, враг свободных людей Средиземья, был повержен. Кольцо перешло к Исильдуру, которому выпал шанс уничтожить зло навсегда. Но сердца людей легко поддаются соблазну, а Кольцо Власти обладало собственной волей. Оно предало Исильдура и привело его к гибели. И многое было забыто, чего забывать не следовало. История стала легендой, легенда превратилась в миф, и на две с половиной тысячи лет кольцо кануло в безвестность. До тех пор, пока случай не привёл в его сети нового владельца""..",10
18,Властелин колец: братство кольца,00:02:16,Галадриэль,"Но сердца людей легко поддаются соблазну, а Кольцо Власти обладало собственной волей","Одна за другой свободные земли Средиземья пали под властью кольца - но были и те, кто восстал против зла. Последний союз людей и эльфов выступил против армии Мордора, чтобы на склонах Роковой Горы сразиться за свободу Средиземья. Победа была близка, но силу кольца нельзя было превозмочь. Но в тот миг, когда надежда угасла, Исильдур, сын короля, поднял меч своего отца. Саурон, враг свободных людей Средиземья, был повержен. Кольцо перешло к Исильдуру, которому выпал шанс уничтожить зло навсегда. Но сердца людей легко поддаются соблазну, а Кольцо Власти обладало собственной волей. Оно предало Исильдура и привело его к гибели. И многое было забыто, чего забывать не следовало. История стала легендой, легенда превратилась в миф, и на две с половиной тысячи лет кольцо кануло в безвестность. До тех пор, пока случай не привёл в его сети нового владельца""..",12
19,Властелин колец: братство кольца,00:02:16,Галадриэль,Оно предало Исильдура и привело его к гибели,"Одна за другой свободные земли Средиземья пали под властью кольца - но были и те, кто восстал против зла. Последний союз людей и эльфов выступил против армии Мордора, чтобы на склонах Роковой Горы сразиться за свободу Средиземья. Победа была близка, но силу кольца нельзя было превозмочь. Но в тот миг, когда надежда угасла, Исильдур, сын короля, поднял меч своего отца. Саурон, враг свободных людей Средиземья, был повержен. Кольцо перешло к Исильдуру, которому выпал шанс уничтожить зло навсегда. Но сердца людей легко поддаются соблазну, а Кольцо Власти обладало собственной волей. Оно предало Исильдура и привело его к гибели. И многое было забыто, чего забывать не следовало. История стала легендой, легенда превратилась в миф, и на две с половиной тысячи лет кольцо кануло в безвестность. До тех пор, пока случай не привёл в его сети нового владельца""..",8
20,Властелин колец: братство кольца,00:02:16,Галадриэль,"И многое было забыто, чего забывать не следовало","Одна за другой свободные земли Средиземья пали под властью кольца - но были и те, кто восстал против зла. Последний союз людей и эльфов выступил против армии Мордора, чтобы на склонах Роковой Горы сразиться за свободу Средиземья. Победа была близка, но силу кольца нельзя было превозмочь. Но в тот миг, когда надежда угасла, Исильдур, сын короля, поднял меч своего отца. Саурон, враг свободных людей Средиземья, был повержен. Кольцо перешло к Исильдуру, которому выпал шанс уничтожить зло навсегда. Но сердца людей легко поддаются соблазну, а Кольцо Власти обладало собственной волей. Оно предало Исильдура и привело его к гибели. И многое было забыто, чего забывать не следовало. История стала легендой, легенда превратилась в миф, и на две с половиной тысячи лет кольцо кануло в безвестность. До тех пор, пока случай не привёл в его сети нового владельца""..",8
21,Властелин колец: братство кольца,00:02:16,Галадриэль,"История стала легендой, легенда превратилась в миф, и на две с половиной тысячи лет кольцо кануло в безвестность","Одна за другой свободные земли Средиземья пали под властью кольца - но были и те, кто восстал против зла. Последний союз людей и эльфов выступил против армии Мордора, чтобы на склонах Роковой Горы сразиться за свободу Средиземья. Победа была близка, но силу кольца нельзя было превозмочь. Но в тот миг, когда надежда угасла, Исильдур, сын короля, поднял меч своего отца. Саурон, враг свободных людей Средиземья, был повержен. Кольцо перешло к Исильдуру, которому выпал шанс уничтожить зло навсегда. Но сердца людей легко поддаются соблазну, а Кольцо Власти обладало собственной волей. Оно предало Исильдура и привело его к гибели. И многое было забыто, чего забывать не следовало. История стала легендой, легенда превратилась в миф, и на две с половиной тысячи лет кольцо кануло в безвестность. До тех пор, пока случай не привёл в его сети нового владельца""..",18
22,Властелин колец: братство кольца,00:02:16,Галадриэль,"До тех пор, пока случай не привёл в его сети нового владельца","Одна за другой свободные земли Средиземья пали под властью кольца - но были и те, кто восстал против зла. Последний союз людей и эльфов выступил против армии Мордора, чтобы на склонах Роковой Горы сразиться за свободу Средиземья. Победа была близка, но силу кольца нельзя было превозмочь. Но в тот миг, когда надежда угасла, Исильдур, сын короля, поднял меч своего отца. Саурон, враг свободных людей Средиземья, был повержен. Кольцо перешло к Исильдуру, которому выпал шанс уничтожить зло навсегда. Но сердца людей легко поддаются соблазну, а Кольцо Власти обладало собственной волей. Оно предало Исильдура и привело его к гибели. И многое было забыто, чего забывать не следовало. История стала легендой, легенда превратилась в миф, и на две с половиной тысячи лет кольцо кануло в безвестность. До тех пор, пока случай не привёл в его сети нового владельца""..",12
23,Властелин колец: братство кольца,00:05:56,Галадриэль,"Кольцо досталось существу по имени Голлум, которое унесло его глубоко в туннели Мглистых Гор","Кольцо досталось существу по имени Голлум, которое унесло его глубоко в туннели Мглистых Гор. И там кольцо поработило его""..",14
24,Властелин колец: братство кольца,00:05:56,Галадриэль,И там кольцо поработило его,"Кольцо досталось существу по имени Голлум, которое унесло его глубоко в туннели Мглистых Гор. И там кольцо поработило его""..",5
25,Властелин колец: братство кольца,00:05:56,Голлум,"Моя собственность, моя любовь, моя прелесть","Оно пришло ко мне. Моя собственность, моя любовь, моя прелесть. Голлум""..",6
26,Властелин колец: братство кольца,00:05:56,Галадриэль,Кольцо даровало Голлуму неестественно долгую жизнь,"Кольцо даровало Голлуму неестественно долгую жизнь. Пятьсот лет оно отравляло его душу и во мгле Голлумовой пещеры ждало своего часа. Снова сгустился мрак над лесами Земли. Поползли слухи о тьме с востока, шёпоты о безымянном ужасе. Кольцо Власти дождалось - пришло его время. Кольцо покинуло Голлума, но случилось нечто, не входившее в планы кольца. Его подобрало самое неожиданное создание, которое только можно представить - хоббит. Бильбо Бэггинс из Шира""..",6
27,Властелин колец: братство кольца,00:05:56,Галадриэль,Пятьсот лет оно отравляло его душу и во мгле Голлумовой пещеры ждало своего часа,"Кольцо даровало Голлуму неестественно долгую жизнь. Пятьсот лет оно отравляло его душу и во мгле Голлумовой пещеры ждало своего часа. Снова сгустился мрак над лесами Земли. Поползли слухи о тьме с востока, шёпоты о безымянном ужасе. Кольцо Власти дождалось - пришло его время. Кольцо покинуло Голлума, но случилось нечто, не входившее в планы кольца. Его подобрало самое неожиданное создание, которое только можно представить - хоббит. Бильбо Бэггинс из Шира""..",14
28,Властелин колец: братство кольца,00:05:56,Галадриэль,Снова сгустился мрак над лесами Земли,"Кольцо даровало Голлуму неестественно долгую жизнь. Пятьсот лет оно отравляло его душу и во мгле Голлумовой пещеры ждало своего часа. Снова сгустился мрак над лесами Земли. Поползли слухи о тьме с востока, шёпоты о безымянном ужасе. Кольцо Власти дождалось - пришло его время. Кольцо покинуло Голлума, но случилось нечто, не входившее в планы кольца. Его подобрало самое неожиданное создание, которое только можно представить - хоббит. Бильбо Бэггинс из Шира""..",6
